,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
9437,N.01983.3-3,aanwinst,"Gedenkpenning Provinciale tentoonstelling te Gent, 1899","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een verhoogde boord.Kz.Rondom bovenaan, PROVINTIALE TENTOONSTELLING VAN ; rondom onderaan, TÉMOIGNAGE DE RECONNAISSANCE , beide omschriften gescheiden door twee bloemetjes ; in het veld omgeven door een cirkelvormig boordje, OOST VLAANDEREN / GENT I899 / ERKENTELIJK AANDENKEN / . ---- . bloem . --- . / EXPOSITION PROVINCIALE / DE LA FLANDRE ORIENTAL / GAND I899",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,brons,,,,,mm,,,diameter,,50.5,,aanwinst
9440,N.01995,aanwinst,"Erepenning aan de stad Gent tijdens het 7de internationaal congres der gemeentesecretarissen, 1913","Vz.Een half naakte vrouw staat naar links op een sokkel en houdt in haar vooruitgestoken rechterhand een palmtak en links een laurierkrans; deze uitbeelding staat binnen een art-nouveau omlijsting in de vorm van een sleutelgat met rechts onderaan verdiept, J. De Keyzer en daaronder een verdiepte afsnede en rondom nog een effen boord.Kz.Binnen een middencirkel, rondom, ????? FÉDON GÉNLE DES SECRÉTAIRES COMAUX DE BELGIQUE en daaronder horizontaal, ? / VIIE CONGRÈS / INTERNATIONAL / I4?I8 AOÛT I9I3 / HOMMAGE DE / RECONNAISSANCE / ? ; rondom bovenaan de cirkel is ingegraveerd, À LA VILLE DE GAND dit alls is omgeven door dezelfde art-nouveau omlijsting als op de voorzijde binnenin links aangevuld door een palmtak met een strik onderaan en onderaan rechts in de verdiepte afsnede is een zilverstempel van Fisch (F/AR) en rondom nog een effen boord.",STAM (Gent),"Keyzer, J.De",ontwerper,Gent,20ste eeuw,1913,1913,zilver,,,,,mm,,,hoogte,,64.7,,aanwinst
9441,N.01997.1-2,overdracht,"Erepenning aan Generaal Van Loo voor 50 jaar dienst in de burgerwacht, 1898","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een geprofileerde rand.Kz.LA VILLE DE GAND / AU / GÉNÉRAL VAN LOO / EN SOUVENIR DE / CINQUANTE ANNEES / DE BONS ET LOYAUX SERVICES / DANS LA / GARDE-CIVIQUE / I848 – I898 (de eerste en de laatste zin volgen de geprofileerde rand).",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1898,1898,zilver,,,,,mm,,,diameter,,50.8,1909-03-04,overdracht
9442,N.01997.2-2,aanwinst,"Erepenning aan Generaal Van Loo voor 50 jaar dienst in de burgerwacht, 1898","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een geprofileerde rand.Kz.LA VILLE DE GAND / AU / GÉNÉRAL VAN LOO / EN SOUVENIR DE / CINQUANTE ANNEES / DE BONS ET LOYAUX SERVICES / DANS LA / GARDE-CIVIQUE / I848 – I898 (de eerste en de laatste zin volgen de geprofileerde rand).",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1898,1898,brons,,,,,mm,,,diameter,,50.8,,aanwinst
9444,N.01999,overdracht,"Prijspenning wedstrijd bij de inhuldiging van de Gentse Velodroom, 1892","Vz.Op een opkrullend veld staat het gekroonde Gentse wapenschild omgeven door een eikentak (links) en een lauriertak (rechts) die beide onderaan samengebonden zijn en met eronder langs de geprofileerde rand, LEMAIREKz.Binnen een open krans van ineengestrengelde laurier- en eikentakken met onderaan een strik, staat in een cirkel, INAUGURATION / DU / VÉLODRÔME GANTOIS / ????? / PRIX DE LA VILLE / ????? / 18 JUILLET / I 8 9 2 (de eerste en de laatste zin volgen de cirkel) en met rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1892,1892,brons,,,,,mm,,,diameter,,40.7,1901-03-04,overdracht
9448,N.02005,aanwinst,"Gedenkpenning Congres te Gent van de federatie der Belgische brandweerlieden, 1893","Vz.Op een gekroond opkrullend veld staat de Gentse leeuw en met onder het veld op een banderol, FIDES ET AMOR en onderaan, langs de geprofileerde rand, LEMAIREKz.Binnen een open krans van twee ineengestrengelde laurier- en eikentakken die onderaan samen gestrikt zijn staat in een cirkel, FÉDÉRATION / DES / SAPEURS POMPIERS / BELGES / ?? / 3E RÉUNION FÉDÉRALE / ?? / GAND / 8 – 9 – I0 JUILLET / 1893 (de eerste en de laatste zin volgen de cirkel) en met rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1893,1893,koper,,verguld,,,mm,,,diameter,,50.8,,aanwinst
9453,N.02012,aanwinst,"Portretpenning Lucas Munich, laatste abt van St-Baafsabdij, 1559","Vz.Buste naar rechts van Munich met rondom bovenaan, LVCAS • M • ABBAS • S • BAVONIS GANDENSIS ÆT • LXVI en op de afsnede van de schouder verdiept, I 5 5 9 rondom langs de rand is een parelcirkel.Kz.Het wapenschild van Munich staat bovenop en staf versierd met trossen waarmee langs elke zijde een letter is omwikkeld, links een L en rechts een M ; rondom, INTELLECTVM DA MIHI ET VIVAM • en met rondom langs de rand een parelcirkel.",STAM (Gent),"Jonghelinck, Jacques",ontwerper,Gent,16de eeuw,1559,1559,koper,,verguld,,,mm,,,diameter,,65.2,,aanwinst
9455,N.02220.1-3,aanwinst,"Gedenkpenning Internationaal muziekfeest te Gent, 1890","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een verhoogde boord. Kz.In het veld, bloemetje INGERICHT bloemetje / DOOR HET / GEMEENTE BESTUUR EN / WAARVAN DE UITVOERING IS / TOEVERTROUWD AAN DE / MAATSCHAPPIJEN / NIJVERHEID EN WETENSCHAP / VAN CROMBRUGGHE’S GENOOTSCHAP / EN DE KONINKLIJKE / MAATSCHAPPIJ / GRÉTRY (de eerste en de laatste zijn volgen de boord) ; rondom een parelcirkel met erbuiten langs de boord bovenaan, STAD GENT GROOT INTERNATIONAAL MUZIEKFEEST , onderaan, bloemetje 13 . 14 JULI 1890 bloemetje ; rondom een verhoogde boord.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1890,1890,brons,,verguld,,,mm,,,diameter,,50.7,,aanwinst
9456,N.02014,aanwinst,"Portretpenning van Viglius van Aytta, als doctor in de Rechten, 1571","Vz.Buste naar rechts van Viglius met grote baret en met rondom, VIGLIVS AYTA A ZVICHEM • V • I DOC ; op de afsnede van de schouder verdiept, I 5 7 I en rondom langs de rand een parelcirkel.Kz.Centraal staat een rijk versierde tafel met vier poten in de vorm van leeuwenklauwen en met het wapen van Viglius; op de tafel, bedekt met een tafelkleed, staan een zandloper, een kaars en een gebedenboek ; onder de tafel een versierde cartouche en rondom, • VITA • MORTALIVM • VIGILIA en langs de rand een parelcirkel.",STAM (Gent),"Jonghelinck, Jacques",ontwerper,Gent,16de eeuw,1571,1571,zilver,,,,,mm,,,diameter,,26.7,,aanwinst
9457,N.02220.2-3,aanwinst,"Gedenkpenning Internationaal muziekfeest te Gent, 1890","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een verhoogde boord. Kz.In het veld, bloemetje INGERICHT bloemetje / DOOR HET / GEMEENTE BESTUUR EN / WAARVAN DE UITVOERING IS / TOEVERTROUWD AAN DE / MAATSCHAPPIJEN / NIJVERHEID EN WETENSCHAP / VAN CROMBRUGGHE’S GENOOTSCHAP / EN DE KONINKLIJKE / MAATSCHAPPIJ / GRÉTRY (de eerste en de laatste zijn volgen de boord) ; rondom een parelcirkel met erbuiten langs de boord bovenaan, STAD GENT GROOT INTERNATIONAAL MUZIEKFEEST , onderaan, bloemetje 13 . 14 JULI 1890 bloemetje ; rondom een verhoogde boord.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1890,1890,brons,,verguld,,,mm,,,diameter,,50.7,,aanwinst
9458,N.02220.3-3,aanwinst,"Gedenkpenning Internationaal muziekfeest te Gent, 1890","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een verhoogde boord. Kz.In het veld, bloemetje INGERICHT bloemetje / DOOR HET / GEMEENTE BESTUUR EN / WAARVAN DE UITVOERING IS / TOEVERTROUWD AAN DE / MAATSCHAPPIJEN / NIJVERHEID EN WETENSCHAP / VAN CROMBRUGGHE’S GENOOTSCHAP / EN DE KONINKLIJKE / MAATSCHAPPIJ / GRÉTRY (de eerste en de laatste zijn volgen de boord) ; rondom een parelcirkel met erbuiten langs de boord bovenaan, STAD GENT GROOT INTERNATIONAAL MUZIEKFEEST , onderaan, bloemetje 13 . 14 JULI 1890 bloemetje ; rondom een verhoogde boord.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1890,1890,brons,,verguld,,,mm,,,diameter,,50.7,,aanwinst
9459,N.02013,aanwinst,"Portretpenning van Viglius van Aytta, voorzitter van de geheime Raad, 1556","Vz.Buste naar links van Viglius met rondom bovenaan, VIGLIVS ZVICHEMVS • PRÆSES SEC-CON-CÆS-Z REG-MA op de afsnede van de schouder verdiept, ÆT XLIX en rondom langs de rand een parelcirkel.Kz.Centraal staat een rijk versierde tafel met vier poten in de vorm van leeuwenklauwen en met het wapen van Viglius; op de tafel, bedekt met een tafelkleed, staan een zandloper, een kaars en een gebedenboek ; onder de tafel op een versierde cartouche, verdiept, I556 en rondom, • VITA • MORTALIVM • VIGLI en langs de rand een parelcirkel.",STAM (Gent),"Jonghelinck, Jacques",ontwerper,Gent,16de eeuw,1556,1556,zilver,,,,,mm,,,diameter,,52.2,,aanwinst
9460,N.02019,aanwinst,"Gedenkpenning Gent viert de Vrede van de Pyreneeën, 1660","Vz.Filips IV (links) en Lodewijk XIV (rechts) staan ten halve lijve naar elkaar toe afgebeeld, ze geven elkaar de rechterhand en tussen hen staat een rechtopstaande lauriertak met bovenaan een duif met de vleugels open en omgeven door stralen ; onder de afbeelding, PHILIPPO IV • LVDOVICO XIV / CATHOLICO • CHRISTIAN: / REGIRVS PACIFICIS / S.P.Q.G. en rondom langs de geprofileerde rand, MISSAM MANVS VTRAQVE PACEM ACCIPIT A GOLLO Kz.Een leeuw ligt naar links en kijkt naar rondvliegende bijen en boven hem staan drie takken met telkens bovenaan een Franse lelie ; rondom langs de geprofileerde rand, + A BELLIS VTRIMQVE FORTITER GESTIS DVLCEDINE PACIS ENATA AO M DC LX . S.P.Q.G. en op een tweede lijn, bovenaan, PASCITVR INTER LILIA / GANT: II en onderaan, DE FORTI DVLCEDO . IVD:XIV ; rechts op het veld een instempeling.",STAM (Gent),"Roettiers, Philippe",ontwerper,Gent,17de eeuw,1660,1660,lood,,,,,mm,,,diameter,,53.3,,aanwinst
9461,N.02045,aanwinst,"Medaille inhuldiging van het standbeeld van Jacob Van Artevelde, 1863","Vz.Het beeld van Jacob Van Artevelde, lichtjes naar links gekeerd met rondom bovenaan, JAKOB VAN ARTEVELDE. ; onderaan langs de rand, LEMAIRE, GRAVEERDER, GENT. en onderaan op de sokkel verdiept, P. DE VIGNE. INV. ; rondom een geprofileerde rand. Kz.Zicht op het volledige standbeeld van Artevelde, met sokkel, en omgeven door een hekwerk met op de vier hoeken een lantaarn en met vooraan op de sokkel, Jakob / Van Artevelde ; onderaan op de afsnede, GENT. en rondom bovenaan, PLEGTIG ONTHULD DEN 14 SEPTBER 1863. ; links langs de rand, LEMAIRE. F. ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1863,1863,koper,,,,,mm,,,diameter,,70.4,,aanwinst
9464,N.02024,aanwinst,"Gedenkpenning Gent viert het huwelijk van Karel II, 1689","Vz.De naar elkaar gerichte bustes van Karel II (links) een Anna (rechts) met rondom, CAROLVS REX HISPANIÆ DVXIT ANNAM NEOBVRGIÆ onderaan een geprofileerde lijn met eronder een bloemenkrans en links, PH • en rechts, R • F • en rondom een geprofileerde rand. Kz.Op een tafel versierd met het Gentse wapenschild met ernaast links, SP en rechts, QG, staan lichtjes schuin bovenop een opkrullend veld de ovalen wapenschilden van Karel II en Anna, langs beide kanten gehouden door een putti die ook een lauriertak omhoog houdt ; boven de schilden een grote kroon en rondom bovenaan, INFANTES • MARI = ANNA • DABIT QVOD • GANDA • PRECATVR en onderaan op de afsnede, MDCLXXXIX en rondom een geprofileerde rand.",STAM (Gent),"Roettiers, Philippe",ontwerper,Gent,17de eeuw,1689,1689,zilver,,,,,mm,,,diameter,,58.1,,aanwinst
9465,N.02025,aanwinst,"Gedenkpenning Gent viert de Vrede van Ryswyck, 1697","Vz.Gedrapeerde buste naar rechts van Karel II met lang haar met op de afsnede van de schouder, PH • R • en rondom bovenaan, MAVORTE EXPVLSO PAX  EXPECTATA REDIVIT ; onder de buste op een sokkel, CAROLO / REGNANTE / SECVNDO en rondom een geprofileerde rand.Kz.De geharnaste Maximiliaan-Emmanuel van Beieren rijd te paard naar links en vertrappelt daarbij twee soldaten en met rondom bovenaan, HOSTES PERCVSSIT BAVARVS TVRCASQVE SVBEGIT ; onderaan op de afsnede, bestaande uit een rechthoek met een afgerond deel; GANDA. MDCXCVII en langs beide zijden van de afronding; PH (links) • R • (rechts) en rondom een geprofileerde rand.",STAM (Gent),"Roettiers, Philippe",ontwerper,Gent,17de eeuw,1697,1697,zilver,,,,,mm,,,diameter,,58.2,,aanwinst
9469,N.02035,aanwinst,"Herinneringsmedaille eerste steenlegging van de aula der Gentse Universiteit, 1819","Vz.Een gekroond Frans schild met het wapen van Gent ; in de afsnede, onder een horizontale lijn, AERE MUNICIPALI. / M.D.CCC.XIX. ; rondom, AULAE ACADEMICAE CONSTRUCTIONE DECRETA. en een geprofileerde boord ; onderaan links, aan het begin van het omschrift, Sint-Michiel die de draak verslaat ; onderaan rechts, vlak na het omschrift en in tegen wijzerzin langs de boord, BRAEMT. F. Kz.POSITO / PRINCIPE. LAPIDE / S.P.Q. GAND / FEST. ET. SOL. DIEM / S. ; rondom, een compacte en ronde gesloten krans van olijftakken die onderaan door middel van een lint zijn samengestrikt en een geprofileerde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,goud,,,,,mm,,,diameter,,32.9,,aanwinst
9470,N.02037,aanwinst,"gedenkpenning : opening kanaal Gent-Terneuzen, 1827  (vgl. N. 1017 - N. 2038)","Vz.Vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) ; in de afsnede, een ster ; bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.Kz.KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ?? ; deze tekst is omgeven door een krans van twee lauriertakken ; onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet ; rondom, een parelcirkel en een effen boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,goud,,,,,mm,,,diameter,,21.8,,aanwinst
9473,N.02050.3-4,aanwinst,"Gedenkpenning inhuldiging monument Willems, 1899","Vz.De kop van Willems staat naar links met rondom bovenaan, JAN – FRANS WILLEMS GEB. 1798, OVERL. 1846. en onder de schouder, LEMAIRE GENT en met rondom een geprofileerde rand.Kz.Binnen een verhoogde cirkel, WILLEMS’ GEDENKTEKEN / PLECHTIG ONTHULD / DEN / 27 AUGUSTUS / 1899 / tussen twee maal drie bloemetjes, GENT (de eerste en de laatste zin volgen de cirkel en de tweede zin is gebogen) ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,brons,,,,,mm,,,diameter,,50.6,,aanwinst
9476,N.02054,aanwinst,"Portretpenning Lucas Munich, laatste abt van St-Baafsabdij, 1559","Vz.Buste naar rechts van Munich met rondom bovenaan, LVCAS • M • ABBAS • S • BAVONIS GANDENSIS ÆT • LXVI en op de afsnede van de schouder verdiept, I 5 5 9 rondom langs de rand is een parelcirkel.Kz.Het wapenschild van Munich staat bovenop en staf versierd met trossen waarmee langs elke zijde een letter is omwikkeld, links een L en rechts een M ; rondom, INTELLECTVM DA MIHI ET VIVAM • en met rondom langs de rand een parelcirkel.",STAM (Gent),"Jonghelinck, Jacques",ontwerper,Gent,,1559,1559,tin,,,,,mm,,,diameter,,63.5,,aanwinst
9477,N.02015,aanwinst,"Portretpenning van Viglius van Aytta, 1571","Vz.Buste naar rechts van Viglius met rondom, VIGLIVS ZVICHEMVS AB AYTA ‘ I ‘ V ‘ D ‘ en op de afsnede van de schouder verdiept, ÆT • LXV • en rondom langs de rand een parelcirkel.Kz.Een wapenschild met de voorstelling van een bundel graanhalmen met erboven een gekroonde tornooihelm met afhangend helmkleed met erboven het gehelmde vrouwenhoofd naar links en rondom bovenaan, VITA MORTALIVM VIGILIA en rondom een parelcirkel.",STAM (Gent),"Jonghelinck, Jacques",ontwerper,Gent,16de eeuw,1571,1571,metaal,,verguld,,,mm,,,diameter,,38.4,,aanwinst
9489,N.02072,aanwinst,"Herinneringsmedaille eerste steenlegging van de aula der Gentse Universiteit, 1819","Vz.Een gekroond Frans schild met het wapen van Gent ; in de afsnede, onder een horizontale lijn, AERE MUNICIPALI. / M.D.CCC.XIX. ; rondom, AULAE ACADEMICAE CONSTRUCTIONE DECRETA. en een geprofileerde boord ; onderaan links, aan het begin van het omschrift, Sint-Michiel die de draak verslaat ; onderaan rechts, vlak na het omschrift en in tegen wijzerzin langs de boord, BRAEMT. F. Kz.POSITO / PRINCIPE. LAPIDE / S.P.Q. GAND / FEST. ET. SOL. DIEM / S. ; rondom, een compacte en ronde gesloten krans van olijftakken die onderaan door middel van een lint zijn samengestrikt en een geprofileerde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1819,1819,koper,,,,,mm,,,diameter,,32.9,,aanwinst
9494,N.02078,aanwinst,"Erepenning 1ste feest der Gymnastische Volksmaatschappij, 1874","Vz.Op een versierde middencirkel is ingegraveerd, * / 1E FEEST / 5E JULY 1874 / * ; rondom staan langs beide zijden een vrouw tegen de cirkel geleund met onderaan allerlei materiaal en bovenaan een bijenkorf met lauwerkrans ; onderaan op de afsnede, P. HART en rondom een verhoogde rand.Kz.Binnen een krans van twee lauriertakken die onderaan met een strik zijn samengehouden is ingegraveerd, GESCHENK (gebogen) / DER / GYMNASTISCHE VOLKMAATSCHAPPY / VAN GENT / * en met rondom een geprofileerde rand.",STAM (Gent),"Hart, P.",ontwerper,Gent,19de eeuw,1874,1874,koper,,verguld,,,mm,,,hoogte,,48.6,,aanwinst
9496,N.02081,aanwinst,"Erepenning aan Mejfr. Hofman voor 47 jaar hoofdonderwijzeres te Gent, 1873","Vz.Zicht op de Gotische vleugel van het Gentse stadhuis ; op de afsnede die bovenaan versierd is met een gotisch motief, HOTEL DE VILLE / DE GAND ; onderaan langs de geprofileerde rand, J. WIENER F. 1851  Kz.In het midden, AAN MEJUFFR / TH. HOFMAN, / VOOR GETROUWE / EN ŸVERIGE VERVULLING / DER BETREKKING / VAN HOOFDONDERWŸZERES / GEDURENDE 47 JAREN ; rondom tussen een parelcirkel en de geprofileerde buitenrand, bovenaan, VAN WEGE DEN GEMEENTERAAD VAN GENT. en onderaan tussen twee bloemetjes, AUGUSTI 1873.",STAM (Gent),"Wiener, Jacques",ontwerper,Gent,19de eeuw,1873,1873,metaal,,verguld,,,mm,,,diameter,,50.7,,aanwinst
9506,N.02091,aanwinst,"Prijspenning landbouwcomiteit der beide Vlaanderen, 1876","Vz.Hoofd naar links van koning Leopold II met onder de hals, LEMAIRE A GAND en rondom, LÉOPOLD II (links) ROI DES BELGES (rechts) en met rondom een geprofileerde rand.Kz.Op een versierde centrale middencirkel, CONCOURS (gebogen) / DES / DEUX FLANDRES / ------- / GAND I876 ; rondom, tussen een gesloten krans van bloemen en vruchten en de geprofileerde buitenrand, bovenaan, SOCIÉTÉ AGRICOLE DE LA FLANDRE ORIENTALE en onderaan drie bloemetjes.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1876,1876,brons,,,,,mm,,,hoogte,,46.3,,aanwinst
9509,N.02094,aanwinst,"Gedenkpenning muziekfeest te Gent, 1874","Vz.Het gekroonde Gentse wapenschild is omgeven door twee lauriertakken en met eronder op een banderol, FIDES ET AMOR en rondom, langs de geprofileerde rand, bovenaan, VILLE DE GAND en onderaan, WÜRDEN Kz.In een versierde centrale middencirkel die geplaats is op een opkrullend veld, FÊTE MUSICALE / DU / 5 JUILLET / * 1874 * (de eerste en de laatste zin volgen de cirkel) ; tussen de cirkel en de geprofileerde buitenrand is een boord met allerlei muziekinstrumenten, onderaan een opgeslagen muziekboek en bovenaan het gekroonde Belgische wapenschild met op een banderol L’UNION FAIT LA FORCE",STAM (Gent),"Würden, Henri Charles",ontwerper,Gent,19de eeuw,1874,1874,brons,,verguld,,,mm,,,diameter,,50.3,,aanwinst
9520,N.02102,aanwinst,"Prijsmedaille van de Academie voor Schone Kunsten te Gent aan Adolphe Wild, 1876","Vz.Gekroond wapenschild van de Academie, bovenaan versierd met twee linten en links en rechts onderaan een lauriertak die worden samengehouden door een opkrullend perkament dat onder het wapenschild ligt ; rondom bovenaan, ACADEMIA REGIA GRAPHID. GANDAV. ; onderaan langs de boord, BRAEMT F. en rondom een verhoogde boord. Kz.Rondom een open krans van twee lauriertakken, onderaan gestrikt en met bovenaan in de opening een ster ; in het veld gegraveerd, ARCHITECTURE / 3E CLE 2E DIVN / PRIX : / ADOLPE WILD / DE GAND / 1875-76 ; rondom een verhoogde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1876,1876,brons,,,,,mm,,,diameter,,46.7,,aanwinst
9550,N.02144,aanwinst,"Gedenkpenning etalagewedstrijd te Gent, 1897","Vz.Op een opkrullend veld staat het gekroonde Gentse wapenschild omgeven door een eikentak (links) en een lauriertak (rechts) die beide onderaan samengebonden zijn en met eronder, LEMAIRE en rondom een parelcirkel (kleine parels) en een tweede parelcirkel (grote parels) en een geprofileerde rand.Kz.Binnen een open krans van ineengestrengelde laurier- en eikentakken met onderaan een strik, staat in een cirkel, GAND-ATTRACTIONS / bloem / CONCOURS / D’ETALAGES / bloem / I 8 9 7 (de eerste en de laatste zin volgen de cirkel) en met onder de strik, LEMAIRE en rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1897,1897,brons,,,,,mm,,,diameter,,45.8,,aanwinst
9582,N.02170.1-3,aanwinst,"Prijspenning Academie voor Schone Kunsten te Gent, (1829)","Vz.Hoofd van Willem I naar links; onder de afsnede van de hals, BRAEMT. F.; rondom, GVILIELMVS I. – BELGARVM REX en een geprofileerde boord.Kz.ACAD.REG. / BONIS ARTIBUS / DOCENDIS PROMOVENDIS / RENUMERANDIS / GANDAVI / INSTITUTA. binnen een krans van twee lauriertakken; op iedere tak bevinden zich vijf rozetten, en op het snijpunt van de takken onderaan en tussen de uiteinden van de krans bovenaan telkens één; rondom, een geprofileerde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,metaal,,verguld,,,mm,,,diameter,,46,,aanwinst
9583,N.02173,aanwinst,"Gedenkpenning wedstrijd van de Cercle Equestre te Gent, 1907","Vz.Op een centraal rond deel zit een vrouw naar links en houdt met haar linkerhand lauriertakken naar voren en met onderaan links langs de rand van de cirkel verdiept, Hip LE ROY ; rondom de cirkel zijn allerlei versieringen met bovenaan een lauriertak (links) en een eikentak (rechts) en onderaan rechts in een van de velden het monogram van Paul Fisch PF en bovenaan uitspringende bogen die eindigen op een lus met draagring. Kz.Op een centrale cirkel, CONCOURS HIPPIQUE / 5 ET 6 / MAI I907 / - / CERCLE EQUESTRE DE GAND (de eerste en de laatste lijn volgen de cirkel) en met rond de cirkel dezelfde versieringen als op de voorzijde met ook het monogram PF",STAM (Gent),"Le Roy, Hippolyte",ontwerper,Gent,20ste eeuw,1907,1907,metaal,,verguld,,,mm,,,hoogte,,73.1,,aanwinst
9584,N.02170.2-3,aanwinst,"Prijspenning Academie voor Schone Kunsten te Gent, (1829)","Vz.Hoofd van Willem I naar links; onder de afsnede van de hals, BRAEMT. F.; rondom, GVILIELMVS I. – BELGARVM REX en een geprofileerde boord.Kz.ACAD.REG. / BONIS ARTIBUS / DOCENDIS PROMOVENDIS / RENUMERANDIS / GANDAVI / INSTITUTA. binnen een krans van twee lauriertakken; op iedere tak bevinden zich vijf rozetten, en op het snijpunt van de takken onderaan en tussen de uiteinden van de krans bovenaan telkens één; rondom, een geprofileerde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,koper,,,,,mm,,,diameter,,45.9,,aanwinst
